year_month,DM1,DM2,DM3,DM4,DM5,EM1,EM2,EM3,JM3,JM4,MM1,MM13,MM14,MM15,MM16,MM17,MM19,MM2,MM3,MM4,MM5,MM6,MM7,MM8,NM1,NM2,NM3,NM5,NM6,NM8,PM1,PM11,PM2,PM3,PM4,PM6,PM7,PM8,PM9,SM1,SM10,SM11,SM12,SM13,SM17,SM18,SM19,SM2,SM20,SM3,SM4,SM5,SM6,SM7,SM9,TM2,TM3,TM4,TM5,TM6,TM7,TM8,VM1,VM12,VM14,VM15,VM2,VM4,VM5,VM6,VM7,VM8,WM1,WM2,WM3,WM4,ET1,ET2,NT1,PT2,PT3,PT4,ST1,ST3,TT1,VT10,VT11,VT12,VT2,VT3,VT4,VT8,WT1,WT3
2005-02-01,0.67,0.45,0.21,0.08,0.06,0.03,0.05,0.02,0.03,0.03,0.04,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0,0,0.04,0.03,0.04,0.06,0.04,0.03,0.03,0.02,0.03,0.03,0,0,0,0.02,0,0,0.04,0.04,0.04,0.03,0.02,0,0,0,0.02,0,0,0,0,0.03,0.03,0.03,0.03,0.02,0.02,0,0,0,0.04,0.06,0.05,0.07,0.06,0.06,0.09,0.06,0.06,0.23,0.03,0.05,0.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-03-01,0.8,0.49,0.19,0.08,0.06,0,0,0,0.03,0.02,0.02,0.02,0,0,0,0.02,0,0,0,0.02,0.03,0,0,0.02,0.04,0.04,0.04,0.05,0.03,0.03,0,0,0,0,0,0,0,0,0,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.02,0.02,0.02,0,0,0,0,0.03,0.04,0.04,0.04,0.02,0.04,0.04,0.04,0.05,0.04,0,0,0.05,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-01,0.66,0.47,0.11,0.07,0.06,0,0,0,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.06,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-01,0.45,0.23,0.12,0.08,0.07,0.05,0.03,0.03,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0,0.02,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.07,0.04,0.03,0,0,0,0,0,0,0.02,0,0,0,0.04,0.04,0.03,0.02,0,0,0,0,0.03,0.02,0.02,0,0,0,0.04,0.02,0.04,0.02,0.02,0.02,0,0,0.07,0.04,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.03,0.03,0.04,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-01,0.93,0.75,0.29,0.2,0.12,0.03,0.02,0,0,0.03,0.02,0,0,0,0,0.02,0,0.02,0.02,0.03,0.02,0.02,0.02,0,0.04,0.05,0.05,0.07,0.05,0.03,0,0,0,0,0,0,0,0,0,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.05,0.04,0.03,0.04,0.03,0.03,0.05,0.03,0.03,0,0.03,0,0,0,0.05,0.04,0.04,0.04,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,0.92,0.69,0.23,0.14,0.06,0.03,0.05,0.02,0.02,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0.04,0.06,0.04,0.05,0.04,0.04,0.02,0,0,0,0,0,0,0,0,0,0.03,0.04,0.03,0.02,0.03,0,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0,0,0.03,0,0,0.04,0.05,0.05,0.03,0.04,0.04,0.03,0.05,0.03,0.03,0.04,0.05,0.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-01,0.46,0.47,0.31,0.28,0.11,0.04,0.03,0,0,0,0.02,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0.03,0.04,0.04,0.03,0.05,0.03,0.03,0,0,0,0,0,0,0,0,0,0.02,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.04,0.04,0.05,0,0.02,0.02,0.02,0.03,0,0,0.04,0.04,0.03,0,0,0.03,0.03,0.05,0.03,0.03,0.03,0.04,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-01,0.49,0.35,0.1,0.08,0.06,0.04,0,0.04,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.04,0.1,0.07,0.06,0.02,0,0,0,0,0,0.03,0,0,0,0.04,0.04,0.03,0.03,0.03,0,0,0.02,0.02,0.03,0.03,0,0,0.03,0.04,0,0,0,0,0,0,0,0.06,0.04,0.03,0.05,0.04,0.05,0.04,0.05,0.05,0.03,0.03,0.03,0.04,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-01,0.52,0.45,0.21,0.08,0.07,0.05,0.03,0.03,0.02,0.03,0.03,0,0,0,0,0.02,0,0,0,0.02,0.02,0,0.02,0,0.05,0.04,0.04,0.07,0.05,0.03,0,0,0,0,0,0.03,0,0,0,0,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.02,0.02,0.04,0.03,0,0,0,0,0,0,0,0.03,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.06,0.04,0.02,0.04,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-01,0.73,0.4,0.2,0.08,0.07,0.03,0.02,0,0.03,0.03,0.03,0.02,0.02,0.02,0,0.02,0.03,0,0.02,0,0.02,0,0.02,0.02,0.03,0.03,0.03,0.05,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.02,0,0,0,0,0.02,0,0,0.02,0,0.02,0.03,0.04,0.03,0.02,0,0.02,0,0,0.06,0.05,0.04,0.07,0.07,0.06,0.07,0.07,0.06,0.04,0.02,0.03,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
